Search,Replace,Wildcard,MatchCase,MatchWholeWord,MatchKashida,MatchDiacritics,MatchAlefHamza,CounterUp
مانیفست ,بیانیه ,0,1,1,0,0,1,1
مایکروویو,تند پز ,0,1,1,0,0,1,1
مکانیزه,ماشینی,0,1,1,0,0,1,1
باند ,نوار ,0,1,1,0,0,1,1
سوژه ,موضوع ,0,1,1,0,0,1,1
موکت ,فرشینه,0,1,1,0,0,1,1
بروشور ,دفترک ,0,1,1,0,0,1,1
سوییت ,سراچه ,0,1,1,0,0,1,1
میکروفون ,صدابر ,0,1,1,0,0,1,1
بلوار ,چارباغ,0,1,1,0,0,1,1
سیفون ,آب شویه ,0,1,1,0,0,1,1
میکرو ,ریز ,0,1,1,0,0,1,1
بن ,بها برگ ,0,1,1,0,0,1,1
سینک ,ظرف شویی ,0,1,1,0,0,1,1
میکسر ,هم زن ,0,1,1,0,0,1,1
بورس ,بها بازار ,0,1,1,0,0,1,1
شارژ,هزینه سرانه خدمات,0,1,1,0,0,1,1
ویلچر ,چرخک ,0,1,1,0,0,1,1
بوفه ,چینی جا ,0,1,1,0,0,1,1
شیفت ,نوبت ,0,1,1,0,0,1,1
هارمونی ,هماهنگی ,0,1,1,0,0,1,1
بوکس,مشت زنی,0,1,1,0,0,1,1
فاز,گام,0,1,1,0,0,1,1
بالکن,ایوانک,0,1,1,0,0,1,1
بالکن,ایوان,0,1,1,0,0,1,1
فاکتور,برگ خرید,0,1,1,0,0,1,1
فاکتور,صورت حساب,0,1,1,0,0,1,1
کنسانتره,افشرده,0,1,1,0,0,1,1
تاکسی درمی,آکنده سازی,0,1,1,0,0,1,1
پیتزا,کش لقمه ,0,1,1,0,0,1,1
بانداژ,باندپیچی,0,1,1,0,0,1,1
پاراف,پیش امضا,0,1,1,0,0,1,1
پارتیشن,دیوارک,0,1,1,0,0,1,1
دراور,کشویی,0,1,1,0,0,1,1
فولکوریک,مردمی,0,1,1,0,0,1,1
ادیتور,ویراستار,0,1,1,0,0,1,1
ارگانیزه,سازمند,0,1,1,0,0,1,1
اشانتیون,نمونه,0,1,1,0,0,1,1
اشل,مقیاس,0,1,1,0,0,1,1
انستیتو ,مؤسسه,0,1,1,0,0,1,1
انفورماتیک,داده ورزی,0,1,1,0,0,1,1
آکواریوم,آبزی دان ,0,1,1,0,0,1,1
پارکت,چوب فرش,0,1,1,0,0,1,1
پاسیو,نورخان,0,1,1,0,0,1,1
پاویون,سرایه,0,1,1,0,0,1,1
توستر,برشته کن,0,1,1,0,0,1,1
چیلر,سردکن,0,1,1,0,0,1,1
دمپینگ ,بازار شکنی,0,1,1,0,0,1,1
دسر,پی غذا,0,1,1,0,0,1,1
دکور ,آرایه,0,1,1,0,0,1,1
شومینه,هیمه سوز,0,1,1,0,0,1,1
فولکلورید,مردمی,0,1,1,0,0,1,1
فیبر,الیاف,0,1,1,0,0,1,1
کاندیدا,نامزد,0,1,1,0,0,1,1
کمیته,کارگروه,0,1,1,0,0,1,1
نان تست,نان برشی,0,1,1,0,0,1,1
هال,سرسرا,0,1,1,0,0,1,1
وارمر,چراغک,0,1,1,0,0,1,1
واکمن,پخش همراه,0,1,1,0,0,1,1
مهیا,آماده,0,1,1,0,0,1,1
میلاد,زادروز,0,1,1,0,0,1,1
نادر,کمیاب,0,1,1,0,0,1,1
ناشی از,برآمده از,0,1,1,0,0,1,1
نامتناسب,بی قواره,0,1,1,0,0,1,1
نامطلوب,ناپسند,0,1,1,0,0,1,1
نبض,تپش,0,1,1,0,0,1,1
ندرتاً,گاهی,0,1,1,0,0,1,1
نزولی,کاهنده,0,1,1,0,0,1,1
نظر به این که,از آن جا که,0,1,1,0,0,1,1
نقطه عطف,چرخشگاه,0,1,1,0,0,1,1
نهایتا,سرانجام,0,1,1,0,0,1,1
واقعی,راستین,0,1,1,0,0,1,1
وب سایت,تارنما,0,1,1,0,0,1,1
وبلاگ,تارنگار,0,1,1,0,0,1,1
وثيقه,پشتوانه,0,1,1,0,0,1,1
وحشیانه,ددمنشانه,0,1,1,0,0,1,1
وخيم,ناگوار,0,1,1,0,0,1,1
وضوح,روشنی,0,1,1,0,0,1,1
وطن,میهن,0,1,1,0,0,1,1
وقاحت,بی شرمی,0,1,1,0,0,1,1
ولادت,زادروز,0,1,1,0,0,1,1
هیچ وجه,هیچ گونه,0,1,1,0,0,1,1
هیچ وقت,هیچ گاه,0,1,1,0,0,1,1
يقينا,بی گمان,0,1,1,0,0,1,1
يوميه,روزانه,0,1,1,0,0,1,1
مضيقه,تنگنا,0,1,1,0,0,1,1
مطلوب,دل خواه,0,1,1,0,0,1,1
مظهر ,نماد,0,1,1,0,0,1,1
معادل,برابر,0,1,1,0,0,1,1
مع الوصف,با این همه,0,1,1,0,0,1,1
معاون,دستیار,0,1,1,0,0,1,1
معبر,گذرگاه,0,1,1,0,0,1,1
معدودی,شماری,0,1,1,0,0,1,1
معقول,بخردانه,0,1,1,0,0,1,1
معکوس,وارونه,0,1,1,0,0,1,1
معما,چیستان,0,1,1,0,0,1,1
معمم,دستار بند,0,1,1,0,0,1,1
معیار,سنجه,0,1,1,0,0,1,1
مغرب,باختر,0,1,1,0,0,1,1
مقابله,رویارویی,0,1,1,0,0,1,1
مقارن,هم زمان ,0,1,1,0,0,1,1
